degree,count
0,5374
1,16522
2,997
3,333
4,202
5,102
6,55
7,19
8,19
9,7
10,5
11,1
12,5
13,3
14,2
15,5
17,1
18,1
19,1
20,2
21,1
23,1
24,3
26,1
27,1
28,5
29,1
30,1
34,1
39,1
40,1
41,2
42,1
44,1
45,1
48,1
49,2
52,1
54,1
63,1
84,1
117,1
471,1
