degree,count
0,6307
1,1505
2,287
3,121
4,61
5,33
6,18
7,7
8,4
9,7
10,12
11,6
12,5
13,7
14,2
15,3
16,5
17,4
18,3
19,1
20,1
21,2
22,1
25,1
26,1
27,1
28,1
29,1
32,2
34,1
41,1
43,1
52,1
63,1
74,1
106,1
135,1
147,2
211,1
281,1
396,1
752,1
1037,1
